trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.596008708766031}",30,8,-55.9735581912764,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.5915553643668151}",20,0,-72.20078957814202,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.5871352951128217}",20,0,-35.788539323500245,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,12,1.8228741010414722,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.5783939893780083}",20,0,-68.21616329614812,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.5740722611964361}",35,25,17.15598305524985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.569782824730923}",35,0,-30.487637253989956,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-123.82310127690913,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.5612998636231915}",20,7,-71.83405767387032,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.5571058618121739}",30,0,-117.69784817160601,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.5529431973527766}",20,0,0.03003594503224072,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,4,-59.100576520483614,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.5447109456345129}",20,0,-54.582791969019866,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5406408953093166}",20,12,-10.277623819850987,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5366012561770335}",20,10,7.9638995979171705,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,16,8.484850714097034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5286123042659974}",25,15,-31.110417596508963,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.5246625421065929}",20,6,-11.719560649484299,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.520742292353521}",25,0,-39.991266837016056,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,2,-35.96820701798694,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5129894496537222}",20,0,-33.25030638574538,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,8,-14.184891990699516,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5053520317442859}",20,4,-21.356074384743124,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5015760690660556}",20,3,-23.403327996002854,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.49782832017396195}",20,0,-40.28407603357104,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.4941085742561417}",20,3,23.074365688924328,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.49041662207590614}",25,9,-51.864763768050025,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,5,20.675785657893815,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.4831152697867781}",20,2,-39.77714990636364,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.4795054589748941}",35,18,3.068117803129648,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.47592262047150985}",20,1,-0.6140735537786193,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,8,-3.7211214479107517,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.4688370557536613}",20,0,-3.213910003802691,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,0,-30.018003974524618,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.4618569813512785}",20,0,-64.58153205906268,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-34.16161025856881,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.4549808267181735}",20,0,-36.86615305341861,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4515812349225923}",20,12,-4.388109583516773,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.44820704469054484}",25,0,-64.73508320445575,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.44485806622294116}",20,0,0.8634639124318196,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4415341111388592}",20,0,-84.96724791571428,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.43823499246494924}",25,0,-85.49585499525554,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.43496052462491586}",20,13,15.133120896336697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,3,5.125145516709969,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
